Category,Name,HighProtein
breakfast,Poha,no
breakfast,Upma,no
breakfast,Sev Upma,no
breakfast,Besan chilla sandwich,yes
breakfast,Moong dal chilla,yes
breakfast,Pancake,no
breakfast,Uttapam,no
breakfast,Overnight oats,yes
breakfast,Sour dought toast,no
lunch,Pav Bhaji (jain style),no
lunch,Misal Pav,yes
lunch,Rajma,yes
lunch,Chole,yes
lunch,Veg Khichdi,no
lunch,Dal Dhokli + thepla,no
lunch,Mix veg dry + dal + roti,no
lunch,Paneer kobi paratha + black dal,yes
lunch,Dhanshak rice,no
lunch,Makhanwala,no
lunch,Methi mattar paneer malai + paratha,yes
lunch,Palak corn + roti,no
lunch,spinach mushroom sabzi (dry) + roti,no
lunch,Spring onion sabzi + roti,no
lunch,Bhindi + roti + dal,no
lunch,Makai shaak,no
lunch,"Thalipith + shaak + cucumber, carrot raita",no
lunch,appam and stew,no
lunch,Idli/uttapam,no
lunch,kobi shaak,no
lunch,paneer gravy,yes
lunch,paneer bhurji,yes
lunch,kopra fansi shaak,no
lunch,south indian kobi+sambhar,no
lunch,sing shaak,no
lunch,"Mix veg paratha with carrot, celery dip",no
lunch,"Mooli paratha with carrot, celery dip",no
lunch,Pakoda kadhi + rice,no
dinner,Masoor biryani,yes
dinner,Veg biryani with channa,no
dinner,Moong dal chilla with paneer and veggies stuffed,yes
dinner,Besan chilla with paneer and veggies,yes
dinner,"Chinese noodles (purple cabbage, french beans, carrot, babycorn, brocolli)",no
dinner,Ravioli,no
dinner,Pizza,no
dinner,Lasagna,no
dinner,Enchilada,no
dinner,Burrito bowl,yes
dinner,Quesadilla,no
dinner,"Paneer, mushroom, aloo tikka",yes
dinner,Paneer bhurji sandwich,yes
dinner,Tofu stir fry + fried rice,no
dinner,"Mushroom crostini (mushroom, palak) in healthy white sauce",no
dinner,Falafel,no
dinner,Burger,no
dinner,Rice + thai curry,no
dinner,Pani puri,no
dinner,Bhel/sev puri,no
dinner,Ragda pattice,no
dinner,Panini,no
dinner,Naulakha,no
dinner,Khousway,no
dinner,Frankie,no
